Gene	sgRNA	Top.beta	Top.z	Top.p.value	Top.fdr	Top.wald.p.value	Top.wald.fdr
ENSMUST00000143129_Gm14636	6	-0.069624	-1.9519	0.14187	0.39021	0.050955	0.22611
ENSMUST00000119534_Gm15067	6	0.027397	0.81173	0.37721	0.61201	0.41695	0.6395
ENSMUST00000181672_Gm26652	6	-0.026066	-0.80139	0.6023	0.76737	0.42291	0.64134
ENSMUST00000053593_Rap2c	6	-0.076653	-2.0007	0.10525	0.34191	0.045421	0.21491
ENSMUST00000142707_Idh3g	6	0.051847	1.6544	0.13777	0.38845	0.098051	0.31431
ENSMUST00000138958_Apex2	6	-0.047803	-1.2389	0.30423	0.55256	0.21539	0.45276
ENSMUST00000101433_Smim9	6	-0.072844	-1.4501	0.12497	0.36283	0.14704	0.38406
ENSMUST00000114085_F8	6	-0.066315	-1.6263	0.16031	0.40757	0.10389	0.32152
ENSMUST00000114875_Mbnl3	6	0.18747	2.8032	0.0010243	0.023529	0.0050597	0.059101
ENSMUST00000118416_Gm8522	6	-0.061214	-1.5697	0.19488	0.44244	0.11648	0.33736
ENSMUST00000072451_Slc9a7	6	-0.062634	-1.3888	0.18156	0.42583	0.16489	0.4037
ENSMUST00000016294_Tenm1	6	-0.088621	-2.4478	0.065301	0.27282	0.014374	0.10669
ENSMUST00000084535_Amer1	6	0.051082	1.3253	0.14238	0.39021	0.18506	0.42635
ENSMUST00000040184_Trpc5	6	-0.017377	-0.55819	0.77209	0.8763	0.57672	0.75503
ENSMUST00000114081_Mtcp1	6	-0.05249	-1.1309	0.26376	0.52111	0.25811	0.49103
ENSMUST00000033543_Cmc4	6	0.015234	0.32052	0.56978	0.75169	0.74858	0.8585
ENSMUST00000002080_Pdzd4	6	-0.021018	-0.41514	0.70218	0.83308	0.67804	0.82356
ENSMUST00000121259_Gm14845	6	0.080645	2.1082	0.043278	0.21948	0.035012	0.19257
ENSMUST00000124577_Gm4779	6	0.049117	1.6511	0.15365	0.39868	0.098711	0.31431
ENSMUST00000114871_Hs6st2	6	-0.055663	-1.2399	0.23508	0.4928	0.215	0.45276
ENSMUST00000113631_Rgag4	6	0.062884	1.2278	0.090653	0.32778	0.21954	0.45845
ENSMUST00000112835_Amot	6	-0.12867	-2.6265	0.013828	0.15429	0.0086262	0.077171
ENSMUST00000119275_Gm8261	6	0.11327	2.0381	0.009475	0.12881	0.041545	0.20153
ENSMUST00000069509_Usp26	6	-0.055056	-1.3091	0.23969	0.49632	0.19049	0.42776
ENSMUST00000136888_Ppef1	6	-0.050805	-1.1325	0.27657	0.53056	0.25741000000000003	0.49103
ENSMUST00000044382_Zc4h2	6	-0.068976	-1.3638	0.14545	0.39044	0.17262	0.40853
ENSMUST00000130203_Flna	6	-0.11639	-3.1662	0.020743	0.16875	0.0015443	0.026764
ENSMUST00000033449_1700080O16Rik	6	-0.065587	-1.4251	0.1644	0.40757	0.15413	0.38717
ENSMUST00000164071_Tro	6	-0.031707	-0.7368	0.50243	0.70739	0.46125	0.67208
ENSMUST00000120762_Gm8172	6	0.0010291	0.022383	0.85659	0.93305	0.98214	0.99359
ENSMUST00000155599_Rbm3	6	0.0703	2.0552	0.065813	0.27282	0.039857	0.19821
ENSMUST00000056904_Ercc6l	6	-0.015867	-0.41684	0.80256	0.88656	0.67679	0.82333
ENSMUST00000142925_Arhgap4	6	-0.058061	-1.9908	0.21665	0.47354	0.046505	0.21491
ENSMUST00000152739_Rps4x	6	-0.0072356	-0.24825	0.96901	0.98031	0.80394	0.88442
ENSMUST00000152838_Lrch2	6	-0.016266	-0.56191	0.79539	0.88519	0.57417	0.75503
ENSMUST00000101336_Cited1	6	-0.15814	-2.6193	0.0040973	0.069565	0.00881	0.077171
ENSMUST00000154872_Hdac8	6	0.01854	0.64603	0.5137	0.71771	0.51826	0.71894
ENSMUST00000117517_Gm8666	6	-0.020705	-0.51344	0.70551	0.83379	0.60764	0.77544
ENSMUST00000188663_1700111N16Rik	6	-0.029882	-0.64635	0.53419	0.72937	0.51806	0.71894
ENSMUST00000101509_Ids	6	-0.02054	-0.53443	0.70755	0.83379	0.59305	0.76422
ENSMUST00000115057_Dcaf12l2	6	0.0048004	0.13364	0.77644	0.8763	0.89368	0.93939
ENSMUST00000115056_Dcaf12l1	6	0.11959	2.0399	0.0066581	0.10196	0.041359	0.20153
ENSMUST00000033545_Rab39b	6	-0.017583	-0.38953	0.76799	0.8763	0.69688	0.83081
ENSMUST00000124537_Maged2	6	-0.087407	-2.7116	0.069142	0.27411	0.0066953	0.068659
ENSMUST00000069417_Gja6	6	8.2595e-4	0.029204	0.86197	0.9337	0.9767	0.99235
ENSMUST00000112355_Cdkl5	6	-0.10146	-2.2926	0.0379	0.21143	0.021874	0.13777
ENSMUST00000146790_L1cam	6	-0.1145	-3.0129	0.021511	0.17143	0.0025877	0.037426
ENSMUST00000122467_Gm14373	6	-0.033339	-0.88951	0.48271	0.69852	0.37373	0.60304
ENSMUST00000147994_Las1l	6	-0.16702	-2.3516	0.0028169	0.051163	0.018695	0.12374
ENSMUST00000139105_Naa10	6	-0.11328	-2.6688	0.022535	0.17255	0.0076114	0.072494
ENSMUST00000117716_Gm8424	6	-0.02582	-0.79838	0.60563	0.77036	0.42465	0.64274
ENSMUST00000138943_4933407K13Rik	6	-0.051775	-0.97137	0.26837	0.524	0.33137	0.55896
ENSMUST00000101698_AU022751	6	0.027618	0.65774	0.37516	0.61201	0.5107	0.7134
ENSMUST00000138026_Gnl3l	6	-0.016374	-0.40598	0.79411	0.88519	0.68476	0.82623
ENSMUST00000116621_Ndufb11	6	0.06361	1.6586	0.08758	0.32417	0.0972	0.31431
ENSMUST00000154400_Tmem185a	6	-7.3487e-4	-0.031687	0.89475	0.94432	0.97472	0.99235
ENSMUST00000103006_Nudt10	6	-0.028635	-0.81472	0.56031	0.7506	0.41524	0.63838
ENSMUST00000024049_Bmp15	6	-0.052244	-1.2155	0.2653	0.52111	0.22416	0.46376
ENSMUST00000052012_Phka1	6	0.051003	0.92254	0.14264	0.39021	0.35625	0.58574
ENSMUST00000112683_Tsr2	6	-0.02108	-0.51453	0.70064	0.83308	0.60688	0.77544
ENSMUST00000033547_Pls3	5	-0.14256	-3.4705	0.0097311	0.12881	5.1943e-4	0.012293
ENSMUST00000087085_Nhs	6	0.037871	0.8968	0.25173	0.50025	0.36983	0.60174
ENSMUST00000101102_Reps2	6	-0.024329	-0.80917	0.63175	0.78567	0.41842	0.6395
ENSMUST00000121488_Gm6451	6	-0.061642	-1.7591	0.19078	0.43743	0.078558	0.28444
ENSMUST00000176662_A230072E10Rik	6	0.027315	0.447	0.37823	0.61201	0.65487	0.80799
ENSMUST00000136472_Gm15201	6	-0.030325	-0.80969	0.52753	0.72535	0.41812	0.6395
ENSMUST00000143984_Tbc1d25	6	0.14715	2.6995	0.0015365	0.030769	0.006945	0.068659
ENSMUST00000041370_Txlng	6	-0.029373	-0.62624	0.5452	0.73924	0.53116	0.72768
ENSMUST00000113610_Gm9112	6	0.073088	1.2111	0.056594	0.25698	0.22586	0.46419
ENSMUST00000149495_Ebp	6	-0.074277	-1.6085	0.11754	0.35038	0.10773	0.32443
ENSMUST00000128763_Dnase1l1	6	-0.050385	-1.7318	0.2822	0.53511	0.083302	0.29145
ENSMUST00000115752_Ccnb3	6	-0.03339	-0.65646	0.48118	0.69852	0.51153	0.7134
ENSMUST00000120192_Gm9115	6	0.01231	0.26708	0.63047	0.78567	0.78941	0.87824
ENSMUST00000119035_Hsf3	6	0.048296	1.3896	0.16082	0.40757	0.16466	0.4037
ENSMUST00000082320_Porcn	6	0.027896	0.60777	0.37055	0.60926	0.54334	0.73929
ENSMUST00000004428_Clcn5	6	-0.092005	-2.635	0.054545	0.25207	0.0084139	0.07641
ENSMUST00000037353_Eda2r	6	-0.026309	-0.94864	0.59872	0.76737	0.3428	0.57049
ENSMUST00000178293_Usp27x	6	0.039995	1.4441	0.23278	0.49268	0.14871	0.38714
ENSMUST00000121720_Nap1l2	6	0.087042	1.6782	0.033291	0.20451	0.093317	0.31013
ENSMUST00000183315_4930519F16Rik	6	-0.07476	-1.7549	0.11472	0.35038	0.079274	0.28531
ENSMUST00000182579_Gm19200	6	-0.10584	-3.2747	0.031754	0.20451	0.0010576	0.020651
ENSMUST00000128571_2010204K13Rik	6	-0.002153	-0.073327	0.92369	0.95676	0.94155	0.96565
ENSMUST00000127786_Xist	8	0.4403	4.1198	0	0	3.7918e-5	0.0014102
ENSMUST00000062642_Gm9785	6	0.15295	3.8714	0.0012804	0.027027	1.0821e-4	0.0032503
ENSMUST00000156211_Ftx	6	0.25361	3.9546	2.5608e-4	0.0083333	7.665e-5	0.0023945
ENSMUST00000126924_Ftsj1	6	-0.10312	-2.5652	0.036108	0.2087	0.010312	0.081353
ENSMUST00000148177_Cd99l2	6	-0.037466	-0.87512	0.42407	0.64717	0.38151	0.60684
ENSMUST00000033560_Ophn1	6	0.10755	2.3722	0.011012	0.13438	0.017684	0.11953
ENSMUST00000042664_Slc16a2	6	0.099746	1.5631	0.01767	0.16522	0.11802	0.33736
ENSMUST00000118700_Gm9164	6	-0.010492	-0.30308	0.91063	0.9508	0.76183	0.86474
ENSMUST00000142447_Ppp1r3f	6	-0.036857	-1.1654	0.43073	0.65447	0.24385	0.47879
ENSMUST00000118314_Nexmif	6	0.21505	3.6769	5.1216e-4	0.015385	2.3609e-4	0.0063582
ENSMUST00000033483_Ccdc22	6	-0.075751	-1.3189	0.11012	0.3464	0.18722	0.42753
ENSMUST00000033695_Abcb7	6	-0.097102	-2.12	0.045583	0.22675	0.034004	0.18969
ENSMUST00000126170_Gm36995	6	-0.049842	-1.3228	0.28707	0.53861	0.18591	0.42704
ENSMUST00000120233_Vcp-rs	6	-0.0077869	-0.11851	0.95954	0.97529	0.90566	0.94562
ENSMUST00000042070extra_Zdhhc15	6	0.015456	0.50993	0.56748	0.75169	0.6101	0.77604
ENSMUST00000033575_Magee2	6	0.027965	0.6057	0.36978	0.60926	0.54471	0.73986
ENSMUST00000154334_5530601H04Rik	6	0.051624	1.425	0.13905	0.38925	0.15416	0.38717
ENSMUST00000156494_Gm14812	6	0.012855	0.4116	0.62074	0.78068	0.68063	0.82414
ENSMUST00000026288_Ribc1	6	-0.047586	-1.0703	0.30627	0.55346	0.28448	0.51669
ENSMUST00000113792_Pja1	6	0.084881	1.7309	0.034827	0.20451	0.083474	0.29145
ENSMUST00000155445_Atrx	6	-0.10228	-3.034	0.036876	0.2087	0.0024134	0.036464
ENSMUST00000116081_Gm14853	6	0.0058669	0.15982	0.75339	0.86657	0.87302	0.92532
ENSMUST00000033567_Awat2	6	-0.046303	-1.3798	0.3178	0.56281	0.16763	0.40408
ENSMUST00000121232_Gm9430	6	2.745e-4	0.008359	0.87324	0.94047	0.99333	0.99716
ENSMUST00000139421_Magt1	6	-0.065465	-1.4382	0.16517	0.40757	0.15037	0.38717
ENSMUST00000151548_Pdzd11	6	-0.023813	-0.59723	0.64149	0.79243	0.55035	0.74364
ENSMUST00000055497_Taf9b	6	-0.052036	-1.3127	0.26658	0.5218	0.1893	0.42776
ENSMUST00000195280_Kantr	6	-0.076207	-1.8062	0.10679	0.34228	0.070884	0.27406
ENSMUST00000178165_Tspyl2	6	0.017468	0.50616	0.53239	0.72937	0.61275	0.77688
ENSMUST00000033723_Syap1	6	0.09825	1.9242	0.019206	0.16522	0.054324	0.23704
ENSMUST00000070316_Gpr173	6	0.086332	2.375	0.033547	0.20451	0.017549	0.11953
ENSMUST00000152746_Shroom2	6	-0.04082	-1.3558	0.38105	0.61317	0.17517	0.41207
ENSMUST00000149331_Fndc3c1	6	-0.14138	-3.2819	0.0076825	0.11321	0.0010312	0.02065
ENSMUST00000038769_S100g	6	0.019617	0.51066	0.4968	0.70344	0.60959	0.77604
ENSMUST00000081893_Syn1	6	-0.042881	-1.0616	0.35647	0.6026	0.28841	0.51697
ENSMUST00000051484_Mageh1	6	0.016999	0.47198	0.54187	0.736	0.63694	0.79212
ENSMUST00000121222_Gm5396	6	-0.083649	-2.9477	0.079129	0.29855	0.003201	0.043104
ENSMUST00000064780_Gabre	6	-0.047633	-1.0915	0.30602	0.55346	0.27503	0.5066
ENSMUST00000088481_Magea10	6	-0.019017	-0.63737	0.74161	0.85799	0.52388	0.72417
ENSMUST00000039424_Kctd12b	6	0.086583	1.4827	0.033547	0.20451	0.13817	0.3721
ENSMUST00000055966_Gabra3	6	0.0214	0.51598	0.4694	0.69301	0.60587	0.77544
ENSMUST00000139166_Zrsr2	6	0.042969	1.1809	0.20359	0.45429	0.23765	0.47115
ENSMUST00000033591_Itm2a	6	0.0072174	0.24523	0.72753	0.8468	0.80628	0.88442
ENSMUST00000126650_Car5b	6	-0.02816	-1.0232	0.56927	0.75169	0.30622	0.53147
ENSMUST00000134272_Siah1b	6	0.10787	2.3545	0.011012	0.13438	0.018548	0.12374
ENSMUST00000112562_Magea6	6	-0.065975	-2.2367	0.16236	0.40757	0.025305	0.14859
ENSMUST00000079867_Magea3	6	0.030592	1.0991	0.33444	0.57788	0.2717	0.50217
ENSMUST00000118505_Gm6645	6	0.039617	1.1826	0.23611	0.4928	0.23696	0.47115
ENSMUST00000070141_Magea8	6	-0.030654	-0.66753	0.52036	0.72163	0.50443	0.71112
ENSMUST00000001156_Cfp	6	-0.01065	-0.31419	0.90755	0.94886	0.75338	0.86274
ENSMUST00000069477_Magea2	6	-0.010355	-0.29077	0.9137	0.9508	0.77122	0.86642
ENSMUST00000069556_Magea5	6	0.015141	0.34757	0.57132	0.75245	0.72816	0.84753
ENSMUST00000120722_2610002M06Rik	6	-0.004424	-0.1689	0.96825	0.98031	0.86587	0.92132
ENSMUST00000113718_Tex11	6	-0.062767	-1.6092	0.18054	0.4247	0.10757	0.32443
ENSMUST00000129899_Uxt	6	-0.057268	-1.4924	0.22254	0.48144	0.13558	0.37024
ENSMUST00000150046_Sat1	6	0.055187	1.1534	0.12138	0.35774	0.24873	0.48323
ENSMUST00000009550_Elk1	6	-0.0040663	-0.071005	0.96312	0.97688	0.94339	0.96565
ENSMUST00000033713_Cetn2	6	-0.12411	-2.2515	0.016133	0.16522	0.024352	0.14743
ENSMUST00000150434_Brwd3	6	0.0087638	0.19116	0.69859	0.83298	0.8484	0.90839
ENSMUST00000144410_Slc7a3	6	-0.07844	-1.6998	0.096799	0.33447	0.089173	0.30509
ENSMUST00000144428_Gm650	6	-0.0016301	-0.04755	0.91293	0.9508	0.96207	0.9822
ENSMUST00000114540_Pnma5	6	-0.067694	-1.7588	0.15211	0.39866	0.078612	0.28444
ENSMUST00000033597_Hmgn5	6	-0.01116	-0.29098	0.89449	0.94432	0.77107	0.86642
ENSMUST00000077876_Snx12	6	-0.019779	-0.58699	0.72266	0.84484	0.55721	0.74886
ENSMUST00000117365_Gm4784	6	-0.038296	-1.1864	0.41076	0.63651	0.23548	0.47115
ENSMUST00000164685_Cybb	6	0.015351	0.43951	0.5685	0.75169	0.66029	0.81339
ENSMUST00000123915_Prdx4	6	-0.053769	-1.6231	0.2507	0.5	0.10457	0.32152
ENSMUST00000038665_Ptchd1	6	0.036073	1.1922	0.27196	0.52705	0.2332	0.47115
ENSMUST00000120749_Gm15163	6	0.043442	1.1915	0.19872	0.44855	0.23347	0.47115
ENSMUST00000135713_Phex	6	-0.065223	-1.6153	0.16645	0.40805	0.10624	0.32285
ENSMUST00000033519_Dynlt3	6	0.070555	1.3423	0.064789	0.27282	0.17949	0.41845
ENSMUST00000114524_Xlr3a	6	-0.039937	-1.12	0.39129	0.6224	0.26271	0.49321
ENSMUST00000145477_Sms	6	-0.022559	-0.76868	0.66658	0.80092	0.44208	0.65268
ENSMUST00000135038_Il2rg	6	0.098886	1.8248	0.018694	0.16522	0.068036	0.27058
ENSMUST00000132319_Rps6ka6	6	-0.6123	-7.5556	0	0	4.1706e-14	8.1431e-12
ENSMUST00000065857_Mbtps2	6	0.077833	1.7154	0.047375	0.23086	0.086268	0.29681
ENSMUST00000112248_Mospd2	6	0.038026	0.88159	0.25045	0.5	0.378	0.60495
ENSMUST00000114530_Xlr4c	6	-0.071222	-1.6154	0.13291	0.38022	0.10622	0.32285
ENSMUST00000114503_Xlr5c	6	0.09957	1.9529	0.017926	0.16522	0.050836	0.22611
ENSMUST00000113422_Hdx	6	-0.042204	-1.1504	0.36569	0.60896	0.24998	0.48325
ENSMUST00000155734_Rpgr	6	0.042778	1.4984	0.20589	0.45682	0.13402	0.36726
ENSMUST00000115333_Zfp182	6	-0.067247	-1.1837	0.15467	0.39868	0.23655	0.47115
ENSMUST00000040667_Zfp300	6	-0.086414	-1.9942	0.072215	0.282	0.046132	0.21491
ENSMUST00000118643_Gm14921	6	0.014621	0.40335	0.58284	0.76376	0.68669	0.82623
ENSMUST00000039887_Pof1b	6	-0.041297	-1.0126	0.3767	0.61201	0.31125	0.53661
ENSMUST00000125569_4930453H23Rik	6	-0.019975	-0.4915	0.71908	0.84324	0.62307	0.78487
ENSMUST00000120347_Gm14939	6	-0.03338	-0.81631	0.48169	0.69852	0.41432	0.63834
ENSMUST00000153417_Chm	6	0.041419	1.039	0.21741	0.47354	0.29881	0.52648
ENSMUST00000207943_Gm45015	6	0.047557	0.86072	0.16722	0.40805	0.38939	0.61562
ENSMUST00000180787_Gm18336	6	-0.0093413	-0.19707	0.93086	0.9591	0.84377	0.90537
ENSMUST00000033738_Trex2	6	0.046879	1.5263	0.17132	0.41169	0.12694	0.35406
ENSMUST00000155040_Zmym3	6	-0.050703	-1.4854	0.27759	0.53056	0.13743	0.37139
ENSMUST00000033737_Haus7	6	-0.079105	-1.7884	0.095006	0.33447	0.07371	0.27911
ENSMUST00000049501_Ofd1	6	0.038717	1.3812	0.24353	0.49661	0.16721	0.40408
ENSMUST00000112091_Rab9	4	-0.1437	-3.4811	0.019206	0.16522	4.9942e-4	0.012189
ENSMUST00000112187_Tceanc	6	-0.089206	-2.9851	0.063508	0.27282	0.002835	0.039538
ENSMUST00000000412_Egfl6	6	-0.10866	-3.3017	0.028681	0.2018	9.6117e-4	0.020288
ENSMUST00000112175_Tmsb4x	6	-0.03905	-0.8881	0.40154	0.62972	0.37449	0.60304
ENSMUST00000060719_Tlr7	6	0.028882	0.93585	0.35595	0.6026	0.34935	0.57858
ENSMUST00000026839_Prps2	6	-0.068623	-1.9218	0.14725	0.39116	0.054631	0.23704
ENSMUST00000112149_Frmpd4	6	-0.10587	-2.6997	0.031754	0.20451	0.0069395	0.068659
ENSMUST00000033725_Msl3	6	0.082053	2.0251	0.040717	0.21477	0.042855	0.20534
ENSMUST00000154638_Hccs	6	-0.035414	-0.92588	0.4548	0.68308	0.35451	0.58453
ENSMUST00000068894_4933400A11Rik	6	0.013184	0.36178	0.61511	0.77735	0.71752	0.84268
ENSMUST00000083176_Snord61	6	-0.013516	-0.25159	0.8525	0.92989	0.80136	0.88442
ENSMUST00000082464_Gm23628	6	-0.01591	-0.39217	0.80154	0.88656	0.69493	0.83081
ENSMUST00000157826_Gm26368	6	-0.011865	-0.39826	0.88297	0.94337	0.69044	0.82831
ENSMUST00000083065_Gm26035	6	0.019464	0.23251	0.49808	0.70344	0.81614	0.88899
ENSMUST00000103923_Mir18b	6	-0.024413	-0.30911	0.62945	0.78567	0.75724	0.86474
ENSMUST00000180483_Mdrl	6	0.032793	0.77317	0.30986	0.55423	0.43942	0.65037
ENSMUST00000180584_9530027J09Rik	6	0.081169	1.6831	0.042254	0.21699	0.092358	0.30958
ENSMUST00000181533_Fmr1os	6	0.096233	1.8698	0.022279	0.17228	0.061512	0.2544
ENSMUST00000057625_Arxes1	6	0.020141	0.62649	0.48604	0.69908	0.53099	0.72768
ENSMUST00000080324_DXBay18	6	0.097853	1.7587	0.019462	0.16522	0.078631	0.28444
ENSMUST00000101324_Dmrtc1b	6	0.082146	1.3734	0.040717	0.21477	0.16963	0.40635
ENSMUST00000088459_Gm14685	6	0.097853	1.7587	0.019462	0.16522	0.078631	0.28444
ENSMUST00000112753_Gm15127	6	0.016205	0.55459	0.55314	0.7468	0.57918	0.75503
ENSMUST00000114119_Gm5640	6	-0.041921	-1.4666	0.3685	0.60926	0.14247	0.37591
ENSMUST00000114116_Gm5936	6	-0.049939	-1.7846	0.28656	0.53861	0.074333	0.27911
ENSMUST00000114117_Gm6890	6	-0.039571	-0.84275	0.3959	0.62817	0.39937	0.62632
ENSMUST00000166554_Gprasp1	6	0.057963	1.2148	0.10781	0.34228	0.22446	0.46376
ENSMUST00000080839_Xlr3c	6	0.0073961	0.1407	0.72497	0.84507	0.88811	0.93858
ENSMUST00000114534_Xlr4a	6	-0.011936	-0.21048	0.88092	0.94247	0.8333	0.90264
ENSMUST00000179600_Xlr5a	6	0.09957	1.9529	0.017926	0.16522	0.050836	0.22611
ENSMUST00000135742_Xlr5b	6	-0.078281	-1.6624	0.097311	0.33447	0.096442	0.31423
ENSMUST00000112581_Nanog	6	-0.60227	-5.4346	0	0	5.4916e-8	6.1271e-6
ENSMUST00000211248_Zfp42	6	-0.020404	-0.63498	0.71114	0.83519	0.52544	0.72504
ENSMUST00000099151_Sox2	6	0.035752	0.97751999999999994	0.27503	0.52956	0.32831	0.55742
ENSMUST00000161976_Myc	6	-0.31352	-4.9677	0	0	6.7754e-7	4.4096e-5
ENSMUST00000132746_Klf4	6	-0.24919	-4.8586	2.5608e-4	0.0083333	1.1824000000000001e-06	7.1032e-5
ENSMUST00000116402_Esrrb	3	-0.39543	-3.7548	0	0	1.7349e-4	0.0050185
ENSMUST00000025271_Pou5f1	6	-0.63957	-8.1465	0	0	3.747e-16	1.4632e-13
ENSMUST00000047577_Prdm14	6	-0.77779	-7.2261	0	0	4.9718e-13	7.7659e-11
ENSMUST00000132679_Ctcf	6	-0.068858	-1.4249	0.14622	0.39044	0.15417	0.38717
ENSMUST00000021692_Yy1	6	0.011684	0.32079	0.64149	0.79243	0.74837	0.8585
ENSMUST00000107234_Eed	6	0.01312	0.32158	0.61665	0.77803	0.74777	0.8585
ENSMUST00000200169_Chd8	6	0.044324	1.0367	0.19155	0.43743	0.29988	0.52648
ENSMUST00000206071_Kat8	6	-0.12468	-3.0799	0.015621	0.16522	0.0020708	0.033632
ENSMUST00000037915_Msl1	6	-0.050512	-1.2588	0.28143	0.53511	0.2081	0.44408
ENSMUST00000189616_Msl2	6	0.15344	2.6848	0.0012804	0.027027	0.0072563	0.070505
ENSMUST00000185912_Kansl3	6	-0.10751	-2.1126	0.030218	0.20339	0.034638	0.19186
ENSMUST00000018556_Kansl1	6	0.036727	0.81753	0.26556	0.52111	0.41363	0.63834
ENSMUST00000041190_Mcrs1	3	0.13299	2.7491	0.029706	0.20339	0.0059763	0.063112
ENSMUST00000078886_Spen	6	-0.061551	-1.532	0.19129	0.43743	0.12553	0.35139
ENSMUST00000005003_Lbr	6	0.071472	1.9912	0.06146	0.26816	0.046462	0.21491
ENSMUST00000159117_Hnrnpu	6	-0.12314	-2.9991	0.016645	0.16522	0.0027076	0.038447
ENSMUST00000116403_Hnrnpk	6	-0.022458	-0.48698	0.66991	0.80184	0.62627	0.78637
ENSMUST00000178110_Dnmt1	6	-0.021873	-0.47591	0.68553	0.81865	0.63414	0.79212
ENSMUST00000121153_Rlim	6	0.29436	3.6625	0	0	2.498e-4	0.0065031
